id,email,Stars,created_date,CoffeeID_id
1,test@test.com,2,"2023-11-19 08:15:56.924843",3061
2,test@test.com,4,"2023-11-19 08:15:56.928438",3198
3,test@test.com,5,"2023-11-19 08:15:56.931876",3241
4,test@test.com,2,"2023-11-19 08:15:56.935511",3369
5,test@test.com,4,"2023-11-19 08:15:56.939011",3461
6,test@test.com,1,"2023-11-19 08:15:56.942222",3516
7,test@test.com,1,"2023-11-19 08:15:56.943924",4010
8,test@test.com,2,"2023-11-19 08:15:56.948492",4014
9,test@test.com,4,"2023-11-19 08:15:56.951864",4601
10,test@test.com,3,"2023-11-19 08:15:56.957867",4707
11,dldldl@gmail.com,4,"2023-11-19 08:17:30.783098",12
12,dldldl@gmail.com,3,"2023-11-19 08:17:30.786026",103
13,dldldl@gmail.com,5,"2023-11-19 08:17:30.787534",186
14,dldldl@gmail.com,3,"2023-11-19 08:17:30.790088",1021
15,dldldl@gmail.com,4,"2023-11-19 08:17:30.791667",1207
16,dldldl@gmail.com,2,"2023-11-19 08:17:30.794628",3043
17,dldldl@gmail.com,4,"2023-11-19 08:17:30.796954",3151
18,dldldl@gmail.com,2,"2023-11-19 08:17:30.798378",3524
19,dldldl@gmail.com,2,"2023-11-19 08:17:30.799827",4546
20,dldldl@gmail.com,3,"2023-11-19 08:17:30.801988",4870
21,dldldl@gmail.com,4,"2023-11-19 08:17:47.422388",12
22,dldldl@gmail.com,3,"2023-11-19 08:17:47.424907",103
23,dldldl@gmail.com,5,"2023-11-19 08:17:47.426292",186
24,dldldl@gmail.com,3,"2023-11-19 08:17:47.427874",1021
25,dldldl@gmail.com,4,"2023-11-19 08:17:47.430509",1207
26,dldldl@gmail.com,2,"2023-11-19 08:17:47.433381",3043
27,dldldl@gmail.com,4,"2023-11-19 08:17:47.435348",3151
28,dldldl@gmail.com,2,"2023-11-19 08:17:47.438537",3524
29,dldldl@gmail.com,2,"2023-11-19 08:17:47.441427",4546
30,dldldl@gmail.com,3,"2023-11-19 08:17:47.442852",4870
31,dldldl@gmail.com,4,"2023-11-19 08:17:52.346772",12
32,dldldl@gmail.com,3,"2023-11-19 08:17:52.350219",103
33,dldldl@gmail.com,5,"2023-11-19 08:17:52.352005",186
34,dldldl@gmail.com,3,"2023-11-19 08:17:52.355231",1021
35,dldldl@gmail.com,4,"2023-11-19 08:17:52.358540",1207
36,dldldl@gmail.com,2,"2023-11-19 08:17:52.362502",3043
37,dldldl@gmail.com,4,"2023-11-19 08:17:52.366923",3151
38,dldldl@gmail.com,2,"2023-11-19 08:17:52.370303",3524
39,dldldl@gmail.com,2,"2023-11-19 08:17:52.374216",4546
40,dldldl@gmail.com,3,"2023-11-19 08:17:52.378422",4870
41,test@test.com,2,"2023-11-19 08:20:10.631214",3061
42,test@test.com,4,"2023-11-19 08:20:10.634717",3198
43,test@test.com,5,"2023-11-19 08:20:10.638978",3241
44,test@test.com,2,"2023-11-19 08:20:10.642257",3369
45,test@test.com,4,"2023-11-19 08:20:10.643878",3461
46,test@test.com,1,"2023-11-19 08:20:10.647200",3516
47,test@test.com,1,"2023-11-19 08:20:10.651058",4010
48,test@test.com,2,"2023-11-19 08:20:10.654384",4014
49,test@test.com,4,"2023-11-19 08:20:10.657775",4601
50,test@test.com,3,"2023-11-19 08:20:10.661066",4707
51,rion778@gmail.com,3,"2023-11-19 10:08:01.647073",72
52,rion778@gmail.com,3,"2023-11-19 10:08:01.652302",116
53,rion778@gmail.com,4,"2023-11-19 10:08:01.657842",197
54,rion778@gmail.com,4,"2023-11-19 10:08:01.663074",276
55,rion778@gmail.com,2,"2023-11-19 10:08:01.666701",1311
56,rion778@gmail.com,3,"2023-11-19 10:08:01.670952",3090
57,rion778@gmail.com,4,"2023-11-19 10:08:01.674475",3585
58,rion778@gmail.com,4,"2023-11-19 10:08:01.678356",3587
59,rion778@gmail.com,3,"2023-11-19 10:08:01.680163",4305
60,rion778@gmail.com,3,"2023-11-19 10:08:01.684245",4483
